Location ,Part code,updated_loc,
GF/A/001,SAMPLE RACKS,GF/A/001-A
GF/A/002,SAMPLE RACKS,GF/A/002-A
GF/A/003,SAMPLE RACKS,GF/A/003-A
GF/A/004,SAMPLE RACKS,GF/A/004-A
GF/A/005,100 % INSPECTION LOCATION,GF/A/005-A
GF/A/006,100 % INSPECTION LOCATION,GF/A/006-A
GF/A/007,100 % INSPECTION LOCATION,GF/A/007-A
GF/A/008,100 % INSPECTION LOCATION,GF/A/008-A
GF/A/009,100 % INSPECTION LOCATION,GF/A/009-A
GF/A/010,100 % INSPECTION LOCATION,GF/A/010-A
GF/A/011,100 % INSPECTION LOCATION,GF/A/011-A
GF/A/012,100 % INSPECTION LOCATION,GF/A/012-A
GF/B/013,12008987,GF/B/013-A
GF/B/014,12008987,GF/B/014-A
GF/B/015,12008987,GF/B/015-A
GF/B/016,12008987,GF/B/016-A
GF/B/017,16021039,GF/B/017-A
GF/B/018,12008987,GF/B/018-A
GF/B/019,12008987,GF/B/019-A
GF/B/020,12008987,GF/B/020-A
GF/B/021,16021039,GF/B/021-A
GF/B/022,12000676,GF/B/022-A
GF/B/023,12000676,GF/B/023-A
GF/B/024,12000676,GF/B/024-A
GF/B/025,12000076,GF/B/025-A
GF/B/025,12000087,GF/B/025-B
GF/B/026,12000109,GF/B/026-A
GF/B/026,12000110,GF/B/026-B
GF/B/027,12000127,GF/B/027-A
GF/B/028,12000124,GF/B/028-A
GF/C/029,12000059,GF/C/029-A
GF/C/029,12000165,GF/C/029-B
GF/C/029,12000370,GF/C/029-C
GF/C/029,12000371,GF/C/029-D
GF/C/030,12000366,GF/C/030-A
GF/C/031,12000366,GF/C/031-A
GF/C/032,12000366,GF/C/032-A
GF/C/033,12000381,GF/C/033-A
GF/C/033,12000382,GF/C/033-B
GF/C/033,12000383,GF/C/033-C
GF/C/033,12000384,GF/C/033-D
GF/C/034,12000366,GF/C/034-A
GF/C/035,12000366,GF/C/035-A
GF/C/036,12000366,GF/C/036-A
GF/C/037,16018815,GF/C/037-A
GF/C/038,12000366,GF/C/038-A
GF/C/039,12000373,GF/C/039-A
GF/C/040,12000373,GF/C/040-A
GF/C/041,12000421,GF/C/041-A
GF/C/042,12000424,GF/C/042-A
GF/C/042,12000425,GF/C/042-B
GF/C/043,12000420,GF/C/043-A
GF/C/043,12000422,GF/C/043-B
GF/C/043,12000423,GF/C/043-C
GF/C/044,12000416,GF/C/044-A
GF/C/044,12000417,GF/C/044-B
GF/C/044,12000418,GF/C/044-C
GF/C/044,12000419,GF/C/044-D
GF/C/045,12000465,GF/C/045-A
GF/C/046,12000428,GF/C/046-A
GF/C/046,12000470,GF/C/046-B
GF/C/046,12000471,GF/C/046-C
GF/C/046,12000472,GF/C/046-D
GF/C/047,12000432,GF/C/047-A
GF/C/048,12000426,GF/C/048-A
GF/C/048,12000427,GF/C/048-B
GF/C/048,12000455,GF/C/048-C
GF/D/049,12000468,GF/D/049-A
GF/D/049,12014323,GF/D/049-B
GF/D/049,12000481,GF/D/049-C
GF/D/050,12000674,GF/D/050-A
GF/D/051,12000482,GF/D/051-A
GF/D/052,12000469,GF/D/052-A
GF/D/052,12000483,GF/D/052-B
GF/D/053,12000489,GF/D/053-A
GF/D/054,12000675,GF/D/054-A
GF/D/055,12000675,GF/D/055-A
GF/D/056,12004166,GF/D/056-A
GF/D/057,12007164,GF/D/057-A
GF/D/057,12004862,GF/D/057-B
GF/D/057,12007353,GF/D/057-C
GF/D/058,12003802,GF/D/058-A
GF/D/058,12003803,GF/D/058-B
GF/D/059,12007750,GF/D/059-A
GF/D/059,12000476,GF/D/059-B
GF/D/060,12005683,GF/D/060-A
GF/D/060,12005900,GF/D/060-B
GF/D/061,12008876,GF/D/061-A
GF/D/061,12008877,GF/D/061-B
GF/D/062,12008951,GF/D/062-A
GF/D/063,12013333,GF/D/063-A
GF/D/064,12008254,GF/D/064-A
GF/D/064,12008255,GF/D/064-B
GF/D/065,12013933,GF/D/065-A
GF/D/065,12014034,GF/D/065-B
GF/D/066,12008983,GF/D/066-A
GF/D/066,12014076,GF/D/066-B
GF/D/066,12014186,GF/D/066-C
GF/D/067,12018770,GF/D/067-A
GF/D/067,12019934,GF/D/067-B
GF/D/067,12019936,GF/D/067-C
GF/D/068,12019937,GF/D/068-A
GF/D/068,12020401,GF/D/068-B
GF/E/069,12018327,GF/E/069-A
GF/E/070,12019970,GF/E/070-A
GF/E/071,12028812,GF/E/071-A
GF/E/072,12021063,GF/E/072-A
GF/E/073,12025406,GF/E/073-A
GF/E/073,12025407,GF/E/073-B
GF/E/073,16018823,GF/E/073-C
GF/E/074,12035199,GF/E/074-A
GF/E/074,16002155,GF/E/074-B
GF/E/074,16002431,GF/E/074-C
GF/E/075,16000465,GF/E/075-A
GF/E/076,16000463,GF/E/076-A
GF/E/076,16000380,GF/E/076-B
GF/E/076,16000471,GF/E/076-C
GF/E/077,16000340,GF/E/077-A
GF/E/078,16002147,GF/E/078-A
GF/E/079,16002150,GF/E/079-A
GF/E/080,12004113,GF/E/080-A
GF/E/081,16000402,GF/E/081-A
GF/E/081,16000403,GF/E/081-B
GF/E/081,16000387,GF/E/081-C
GF/E/082,16002433,GF/E/082-A
GF/E/082,16002770,GF/E/082-B
GF/E/082,16002923,GF/E/082-C
GF/E/083,16003468,GF/E/083-A
GF/E/084,12000781,GF/E/084-A
GF/E/085,12035270,GF/E/085-A
GF/E/085,12028978,GF/E/085-B
GF/E/086,16009201,GF/E/086-A
GF/E/087,16010256,GF/E/087-A
GF/E/088,12014552,GF/E/088-A
GF/F/089,12019062,GF/F/089-A
GF/F/090,16018816,GF/F/090-A
GF/F/091,12025350,GF/F/091-A
GF/F/092,12019798,GF/F/092-A
GF/F/093,16018817,GF/F/093-A
GF/F/093,16018819,GF/F/093-B
GF/F/093,16018820,GF/F/093-C
GF/F/093,16018821,GF/F/093-D
GF/F/093,12000801,GF/F/093-E
GF/F/094,16021389,GF/F/094-A
GF/F/095,12004291,GF/F/095-A
GF/F/096,12004291,GF/F/096-A
GF/F/097,16018822,GF/F/097-A
GF/F/098,12004291,GF/F/098-A
GF/F/099,12000409,GF/F/099-A
GF/F/100,12027396,GF/F/100-A
GF/F/101,12009534,GF/F/101-A
GF/F/101,12004283,GF/F/101-B
GF/F/102,12014054,GF/F/102-A
GF/F/103,12014055,GF/F/103-A
GF/F/104,12037146,GF/F/104-A
GF/F/105,12000800,GF/F/105-A
GF/F/105,12000067,GF/F/105-B
GF/F/106,12014804,GF/F/106-A
GF/F/106,16003004,GF/F/106-B
GF/F/107,12014818,GF/F/107-A
GF/F/108,12037146,GF/F/108-A
GF/G/109,16003010,GF/G/109-A
GF/G/110,12015114,GF/G/110-A
GF/G/110,12019315,GF/G/110-B
GF/G/110,12019726,GF/G/110-C
GF/G/111,12019798,GF/G/111-A
GF/G/111,12020099,GF/G/111-B
GF/G/112,12019798,GF/G/112-A
GF/G/113,16003812,GF/G/113-A
GF/G/114,12019728,GF/G/114-A
GF/G/114,16003814,GF/G/114-B
GF/G/115,12009538,GF/G/115-A
GF/G/116,12019798,GF/G/116-A
GF/G/117,12019932,GF/G/117-A
GF/G/118,12019983,GF/G/118-A
GF/G/118,12019983,GF/G/118-B
GF/G/119,12009538,GF/G/119-A
GF/G/120,12019798,GF/G/120-A
GF/G/121,12019933,GF/G/121-A
GF/G/122,12021610,GF/G/122-A
GF/G/122,12022995,GF/G/122-B
GF/G/123,12019798,GF/G/123-A
GF/G/124,12019798,GF/G/124-A
GF/G/125,16000387,GF/G/125-A
GF/G/126,12022395,GF/G/126-A
GF/G/127,12014482,GF/G/127-A
GF/G/128,12019798,GF/G/128-A
GF/H/129,12000009,GF/H/129-A
GF/H/130,12023650,GF/H/130-A
GF/H/130,12023651,GF/H/130-B
GF/H/130,12023652,GF/H/130-C
GF/H/131,12000676,GF/H/131-A
GF/H/132,12019798,GF/H/132-A
GF/H/133,16003473,GF/H/133-A
GF/H/134,12024259,GF/H/134-A
GF/H/134,16003813,GF/H/134-B
GF/H/135,12000676,GF/H/135-A
GF/H/136,12019798,GF/H/136-A
GF/H/137,12019202,GF/H/137-A
GF/H/137,12025702,GF/H/137-B
GF/H/137,12009452,GF/H/137-C
GF/H/138,16003008,GF/H/138-A
GF/H/139,16003009,GF/H/139-A
GF/H/140,12036393,GF/H/140-A
GF/H/141,12000009,GF/H/141-A
GF/H/141,12021790,GF/H/141-B
GF/H/142,16000464,GF/H/142-A
GF/H/142,12014373,GF/H/142-B
GF/H/143,12024865,GF/H/143-A
GF/H/143,12025539,GF/H/143-B
GF/H/144,12036393,GF/H/144-A
GF/H/145,12033952,GF/H/145-A
GF/H/145,12014459,GF/H/145-B
GF/H/146,12013333,GF/H/146-A
GF/H/146,16009310,GF/H/146-B
GF/H/147,12024986,GF/H/147-A
GF/H/147,12025657,GF/H/147-B
GF/H/148,12036393,GF/H/148-A
1F/A/149,12027121,1F/A/149-A
1F/A/150,12027121,1F/A/150-A
1F/A/151,12027121,1F/A/151-A
1F/A/152,12027121,1F/A/152-A
1F/A/153,12027121,1F/A/153-A
1F/A/154,12027121,1F/A/154-A
1F/A/155,12027121,1F/A/155-A
1F/A/156,12027121,1F/A/156-A
1F/A/157,12027121,1F/A/157-A
1F/A/158,12027121,1F/A/158-A
1F/A/159,12027121,1F/A/159-A
1F/A/160,12027121,1F/A/160-A
1F/B/161,12029601,1F/B/161-A
1F/B/162,16019689,1F/B/162-A
1F/B/162,12023665,1F/B/162-B
1F/B/163,12023666,1F/B/163-A
1F/B/163,12023667,1F/B/163-B
